[Epoch  330] 🔧 LR: 0.010000 | AvgLoss: 0.7307 | Train Acc: 68.48%
[Epoch  335] 🔧 LR: 0.010000 | AvgLoss: 0.6845 | Train Acc: 66.67%
[Epoch  340] 🔧 LR: 0.010000 | AvgLoss: 0.6830 | Train Acc: 69.09%
[Epoch  345] 🔧 LR: 0.010000 | AvgLoss: 0.6830 | Train Acc: 68.79%
[Epoch  350] 🔧 LR: 0.010000 | AvgLoss: 0.6525 | Train Acc: 67.88%
[Epoch  355] 🔧 LR: 0.010000 | AvgLoss: 0.7061 | Train Acc: 68.18%
[Epoch  360] 🔧 LR: 0.010000 | AvgLoss: 0.6467 | Train Acc: 73.33%
[Epoch  365] 🔧 LR: 0.010000 | AvgLoss: 0.5842 | Train Acc: 76.97%
[Epoch  370] 🔧 LR: 0.010000 | AvgLoss: 0.6607 | Train Acc: 72.12%
[Epoch  375] 🔧 LR: 0.010000 | AvgLoss: 0.6362 | Train Acc: 72.12%
[Epoch  380] 🔧 LR: 0.010000 | AvgLoss: 0.7245 | Train Acc: 69.70%
[Epoch  385] 🔧 LR: 0.010000 | AvgLoss: 0.6837 | Train Acc: 72.73%
[Epoch  390] 🔧 LR: 0.010000 | AvgLoss: 0.6643 | Train Acc: 71.52%
[Epoch  395] 🔧 LR: 0.010000 | AvgLoss: 0.6594 | Train Acc: 71.52%
[Epoch  400] 🔧 LR: 0.001000 | AvgLoss: 0.6080 | Train Acc: 75.45%
[Epoch  405] 🔧 LR: 0.001000 | AvgLoss: 0.5255 | Train Acc: 78.79%
[Epoch  410] 🔧 LR: 0.001000 | AvgLoss: 0.5014 | Train Acc: 82.12%
[Epoch  415] 🔧 LR: 0.001000 | AvgLoss: 0.5349 | Train Acc: 77.27%
[Epoch  420] 🔧 LR: 0.001000 | AvgLoss: 0.5552 | Train Acc: 76.36%
[Epoch  425] 🔧 LR: 0.001000 | AvgLoss: 0.5102 | Train Acc: 81.21%
[Epoch  430] 🔧 LR: 0.001000 | AvgLoss: 0.4895 | Train Acc: 82.42%
[Epoch  435] 🔧 LR: 0.001000 | AvgLoss: 0.5048 | Train Acc: 82.42%
[Epoch  440] 🔧 LR: 0.001000 | AvgLoss: 0.4793 | Train Acc: 82.73%
[Epoch  445] 🔧 LR: 0.001000 | AvgLoss: 0.5130 | Train Acc: 84.85%
[Epoch  450] 🔧 LR: 0.001000 | AvgLoss: 0.4948 | Train Acc: 82.42%
[Epoch  455] 🔧 LR: 0.001000 | AvgLoss: 0.4642 | Train Acc: 81.52%
[Epoch  460] 🔧 LR: 0.001000 | AvgLoss: 0.4228 | Train Acc: 85.45%
[Epoch  465] 🔧 LR: 0.001000 | AvgLoss: 0.4336 | Train Acc: 83.64%
[Epoch  470] 🔧 LR: 0.001000 | AvgLoss: 0.4463 | Train Acc: 84.24%
[Epoch  475] 🔧 LR: 0.001000 | AvgLoss: 0.4490 | Train Acc: 85.15%
[Epoch  480] 🔧 LR: 0.001000 | AvgLoss: 0.4419 | Train Acc: 82.73%
[Epoch  485] 🔧 LR: 0.001000 | AvgLoss: 0.3875 | Train Acc: 87.27%
[Epoch  490] 🔧 LR: 0.001000 | AvgLoss: 0.4151 | Train Acc: 84.55%
[Epoch  495] 🔧 LR: 0.001000 | AvgLoss: 0.4645 | Train Acc: 81.82%
[Epoch  500] 🔧 LR: 0.001000 | AvgLoss: 0.4796 | Train Acc: 82.73%
